259,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,0,N,Africa/Abidjan
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,1,N,Africa/Lagos
261,Akure Airport,Akure,Nigeria,AKR,DNAK,1,N,Africa/Lagos
262,Benin Airport,Benin,Nigeria,BNI,DNBE,1,N,Africa/Lagos
263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,1,N,Africa/Lagos
264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,1,N,Africa/Lagos
265,Gusau Airport,Gusau,Nigeria,\N,DNGU,1,N,Africa/Lagos
266,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,1,N,Africa/Lagos
267,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,1,N,Africa/Lagos
268,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,1,N,Africa/Lagos
269,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,1,N,Africa/Lagos
270,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,1,N,Africa/Lagos
271,Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,1,N,Africa/Lagos
272,Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,1,N,Africa/Lagos
273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,1,N,Africa/Lagos
274,Minna Airport,Minna,Nigeria,MXJ,DNMN,1,N,Africa/Lagos
275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,1,N,Africa/Lagos
276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,1,N,Africa/Lagos
277,Yola Airport,Yola,Nigeria,YOL,DNYO,1,N,Africa/Lagos
278,Zaria Airport,Zaria,Nigeria,ZAR,DNZA,1,N,Africa/Lagos
279,Maradi Airport,Maradi,Niger,MFQ,DRRM,1,N,Africa/Niamey
280,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,1,N,Africa/Niamey
281,Tahoua Airport,Tahoua,Niger,THZ,DRRT,1,N,Africa/Niamey
282,Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,1,N,Africa/Niamey
283,Dirkou Airport,Dirkou,Niger,\N,DRZD,1,N,Africa/Niamey
284,Diffa Airport,Diffa,Niger,\N,DRZF,1,N,Africa/Niamey
285,Zinder Airport,Zinder,Niger,ZND,DRZR,1,N,Africa/Niamey
286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,1,E,Africa/Tunis
287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,1,E,Africa/Tunis
288,Sidi Ahmed Air Base,Bizerte,Tunisia,\N,DTTB,1,E,Africa/Tunis
289,Remada Air Base,Remada,Tunisia,\N,DTTD,1,E,Africa/Tunis
290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,1,E,Africa/Tunis
291,Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,1,E,Africa/Tunis
292,Borj El Amri Airport,Bordj El Amri,Tunisia,\N,DTTI,1,E,Africa/Tunis
293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,1,E,Africa/Tunis
294,El Borma Airport,El Borma,Tunisia,EBM,DTTR,1,E,Africa/Tunis
295,Sfax Thyna International Airport,Sfax,Tunisia,SFA,DTTX,1,E,Africa/Tunis
